"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1147","testLambdaStep()","","Sun Feb 23 10:33:58 GMT 2025","passed","Sun Feb 23 10:33:59 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testLambdaStep"
"","2481","testAnnotatedStep()","","Sun Feb 23 10:33:55 GMT 2025","passed","Sun Feb 23 10:33:58 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testAnnotatedStep"
