"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2556","testAnnotatedStep()","","Wed Feb 26 06:30:34 GMT 2025","passed","Wed Feb 26 06:30:36 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testAnnotatedStep"
"","1107","testLambdaStep()","","Wed Feb 26 06:30:37 GMT 2025","passed","Wed Feb 26 06:30:38 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testLambdaStep"
