"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1390","testLambdaStep()","","Sun Feb 23 13:06:25 GMT 2025","passed","Sun Feb 23 13:06:26 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testLambdaStep"
"","2688","testAnnotatedStep()","","Sun Feb 23 13:06:22 GMT 2025","passed","Sun Feb 23 13:06:25 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testAnnotatedStep"
