"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1264","testLambdaStep()","","Sun Feb 23 10:42:54 GMT 2025","passed","Sun Feb 23 10:42:55 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testLambdaStep"
"","2503","testAnnotatedStep()","","Sun Feb 23 10:42:51 GMT 2025","passed","Sun Feb 23 10:42:53 GMT 2025","","tests.StepsTestClass","tests.StepsTestClass","testAnnotatedStep"
